"COUNTRY","YEAR","SAMPLE","SERIAL","HHWT","HHTYPE","NMOTHERS","NFATHERS","PERNUM","PERWT","RELATE","RELATED","AGE","SEX","MARST","MARSTD"
704,2009,704200901,1000,9.94,3,1,1,1,8.72,1,1000,41,2,2,200
704,2009,704200901,1000,9.94,3,1,1,2,10.63,2,2000,42,1,2,200
704,2009,704200901,1000,9.94,3,1,1,3,8.72,3,3100,17,2,1,100
704,2009,704200901,1000,9.94,3,1,1,4,10.63,3,3100,15,1,1,100
704,2009,704200901,2000,9.94,2,0,0,1,10.63,1,1000,62,1,2,200
704,2009,704200901,2000,9.94,2,0,0,2,8.72,2,2000,63,2,2,200
704,2009,704200901,3000,9.94,3,1,1,1,10.63,1,1000,35,1,2,200
704,2009,704200901,3000,9.94,3,1,1,2,8.72,2,2000,24,2,2,200
704,2009,704200901,3000,9.94,3,1,1,3,8.72,3,3100,3,2,1,100
704,2009,704200901,4000,9.94,3,1,1,1,10.63,1,1000,37,1,2,200
704,2009,704200901,4000,9.94,3,1,1,2,8.72,2,2000,32,2,2,200
704,2009,704200901,4000,9.94,3,1,1,3,8.72,3,3100,10,2,1,100
704,2009,704200901,4000,9.94,3,1,1,4,10.63,3,3100,3,1,1,100
704,2009,704200901,5000,9.94,10,0,0,1,8.72,1,1000,83,2,4,400
704,2009,704200901,5000,9.94,10,0,0,2,8.72,6,6000,46,2,2,200
704,2009,704200901,5000,9.94,10,0,0,3,8.72,4,4100,24,2,1,100
704,2009,704200901,5000,9.94,10,0,0,4,10.63,4,4100,22,1,1,100
704,2009,704200901,5000,9.94,10,0,0,5,8.72,4,4100,21,2,2,200
704,2009,704200901,5000,9.94,10,0,0,6,10.63,6,6000,0,1,1,100
704,2009,704200901,6000,9.94,10,2,2,1,8.72,1,1000,67,2,2,200
704,2009,704200901,6000,9.94,10,2,2,2,10.63,2,2000,69,1,2,200
704,2009,704200901,6000,9.94,10,2,2,3,10.63,3,3100,44,1,2,200
704,2009,704200901,6000,9.94,10,2,2,4,10.63,3,3100,35,1,1,100
704,2009,704200901,6000,9.94,10,2,2,5,8.72,6,6000,41,2,2,200
